recording_id,brainarea,neuronindex,fit_wEA,fit_wDC,recovery_wEA,recovery_wDC
T176_2018_05_03,dmFC,368,-1.22163299549607,-0.369050969016624,-1.22163299549607,-0.369050969016624
T176_2018_05_03,dmFC,369,-0.105927378806308,0.461492894698946,-0.105927378806308,0.461492894698946
T176_2018_05_03,dmFC,371,-0.44315493298752,-0.129397997300428,-0.44315493298752,-0.129397997300428
T176_2018_05_03,dmFC,372,-0.421613232768042,-0.484110759255677,-0.421613232768042,-0.484110759255677
T176_2018_05_03,dmFC,374,0.343622534802798,0.370562782130376,0.343622534802798,0.370562782130376
T176_2018_05_03,dmFC,375,-0.244288963766109,-0.493698182196984,-0.244288963766109,-0.493698182196984
T176_2018_05_03,dmFC,380,0.0595093243579481,-0.334969722683605,0.0595093243579481,-0.334969722683605
T176_2018_05_03,dmFC,383,1.71372390011336,0.743985528460299,1.71372390011336,0.743985528460299
T176_2018_05_03,dmFC,385,1.15458708811256,0.364752689865347,1.15458708811256,0.364752689865347
T176_2018_05_03,dmFC,387,-0.521669101251491,-0.189280544385378,-0.521669101251491,-0.189280544385378
T176_2018_05_03,dmFC,392,-1.18692835312973,-0.439229682651473,-1.18692835312973,-0.439229682651473
T176_2018_05_03,dmFC,393,-1.44866784561435,-0.774508527279686,-1.44866784561435,-0.774508527279686
T176_2018_05_03,dmFC,401,-0.128736229386638,-0.249872808947222,-0.128736229386638,-0.249872808947222
T176_2018_05_03,dmFC,404,-1.02092814146674,-0.357078658383229,-1.02092814146674,-0.357078658383229
T176_2018_05_03,dmFC,405,-0.335142256856671,0.0414486271383149,-0.335142256856671,0.0414486271383149
T176_2018_05_03,dmFC,407,1.0941534060787,-0.106934977277364,1.0941534060787,-0.106934977277364
T176_2018_05_03,dmFC,408,-0.306777390739248,-0.180858950654565,-0.306777390739248,-0.180858950654565
T176_2018_05_03,dmFC,411,0.857622476640777,0.221121411616637,0.857622476640777,0.221121411616637
T176_2018_05_03,dmFC,413,-0.637429928101761,-0.899829600041464,-0.637429928101761,-0.899829600041464
T176_2018_05_03,dmFC,414,0.903157729383645,0.62525246086788,0.903157729383645,0.62525246086788
T176_2018_05_03,dmFC,441,0.895134842257721,0.265494080066982,0.895134842257721,0.265494080066982
T176_2018_05_03,dmFC,455,1.60304479366875,0.108994921520643,1.60304479366875,0.108994921520643
T176_2018_05_03,dmFC,478,0.34361497000242,-0.866327957570347,0.34361497000242,-0.866327957570347
T176_2018_05_03,dmFC,495,0.576583004059762,0.114505349249733,0.576583004059762,0.114505349249733
T176_2018_05_04,mPFC,3,0.876971035530777,-0.200137276970626,0.876971035530777,-0.200137276970626
T176_2018_05_04,mPFC,16,0.134409599336641,0.296149580889307,0.134409599336641,0.296149580889307
T176_2018_05_04,mPFC,26,-0.543313826109392,-0.140277213079021,-0.543313826109392,-0.140277213079021
T176_2018_05_04,mPFC,37,-0.411237126236159,-0.0074447578899055,-0.411237126236159,-0.0074447578899055
T176_2018_05_04,mPFC,45,-0.140760684663494,-0.047890241005294,-0.140760684663494,-0.047890241005294
T176_2018_05_04,mPFC,63,-0.946388898639029,-0.109212833232327,-0.946388898639029,-0.109212833232327
T176_2018_05_04,mPFC,67,0.79140571719994,-0.188922841891646,0.79140571719994,-0.188922841891646
T176_2018_05_04,mPFC,75,1.02682816544961,0.0606520210664673,1.02682816544961,0.0606520210664673
T176_2018_05_04,mPFC,99,0.334747290993576,0.101469770293858,0.334747290993576,0.101469770293858
T176_2018_05_04,mPFC,119,-0.415723897742041,-0.524252481103201,-0.415723897742041,-0.524252481103201
T176_2018_05_04,mPFC,137,-1.55189546908911,-0.228334591910531,-1.55189546908911,-0.228334591910531
T176_2018_05_04,mPFC,140,-1.40731114269781,-0.24147096723521,-1.40731114269781,-0.24147096723521
T176_2018_05_04,mPFC,142,-1.89810186993584,-0.264415616363174,-1.89810186993584,-0.264415616363174
T176_2018_05_04,mPFC,166,-0.685708315513584,-0.130840621562154,-0.685708315513584,-0.130840621562154
T176_2018_05_04,mPFC,169,0.588488164367275,-0.0200533646549635,0.588488164367275,-0.0200533646549635
T176_2018_05_04,mPFC,170,-1.57562203953568,-0.173414682187979,-1.57562203953568,-0.173414682187979
T176_2018_05_04,mPFC,175,0.672383671484662,0.354417175219892,0.672383671484662,0.354417175219892
